,features,labels
0,"[2, 1983, 4, 25]",d
1,"[0, 2086, 11, 53]",b
2,"[0, 1818, 20, 32]",c
3,"[2, 2556, 94, 1]",c
4,"[2, 705, 67, 26]",c
5,"[2, 3480, 23, 24]",a
6,"[0, 5127, 9, 52]",c
7,"[0, 6490, 84, 98]",a
8,"[2, 2308, 19, 36]",c
9,"[2, 1377, 3, 92]",d
10,"[1, 654, 70, 100]",b
11,"[0, 1614, 97, 19]",a
12,"[0, 2826, 48, 31]",a
13,"[1, 6553, 34, 19]",b
14,"[0, 1268, 43, 32]",d
15,"[2, 4204, 19, 90]",b
16,"[2, 2871, 50, 98]",c
17,"[0, 2995, 26, 47]",c
18,"[2, 165, 24, 24]",c
19,"[2, 594, 20, 2]",b
20,"[1, 5194, 80, 28]",d
21,"[1, 4712, 36, 38]",b
22,"[0, 2681, 33, 55]",d
23,"[0, 6202, 41, 18]",c
24,"[0, 6179, 76, 80]",b
25,"[0, 1123, 54, 79]",d
26,"[0, 5339, 22, 61]",d
27,"[1, 959, 16, 75]",a
28,"[1, 3219, 6, 23]",c
29,"[0, 5547, 53, 0]",b
30,"[1, 2610, 55, 74]",a
31,"[1, 7192, 11, 4]",c
32,"[2, 43, 43, 33]",b
33,"[2, 5541, 78, 64]",b
34,"[2, 5483, 73, 35]",a
35,"[2, 279, 99, 94]",b
36,"[2, 2598, 25, 68]",b
37,"[2, 1867, 32, 38]",c
38,"[0, 139, 94, 87]",a
39,"[2, 5048, 80, 5]",d
40,"[1, 6773, 84, 16]",d
41,"[0, 1359, 78, 16]",c
42,"[1, 5045, 54, 83]",d
43,"[2, 2173, 20, 38]",b
44,"[0, 5365, 95, 97]",b
45,"[0, 4838, 70, 54]",c
46,"[1, 1635, 6, 2]",b
47,"[0, 1008, 38, 7]",b
48,"[2, 5742, 59, 32]",a
49,"[1, 6261, 30, 76]",d
50,"[2, 800, 92, 40]",b
51,"[2, 2158, 48, 45]",a
52,"[0, 2286, 25, 7]",d
53,"[0, 5927, 49, 20]",c
54,"[2, 5005, 27, 83]",c
55,"[1, 724, 86, 30]",b
56,"[1, 6461, 69, 24]",b
57,"[0, 1026, 7, 9]",b
58,"[0, 6392, 26, 75]",d
59,"[2, 1616, 71, 23]",a
60,"[1, 6172, 50, 63]",a
61,"[1, 50, 66, 36]",b
62,"[0, 1488, 83, 19]",d
63,"[0, 3309, 93, 53]",d
64,"[1, 1964, 57, 23]",b
65,"[1, 6879, 32, 92]",d
66,"[2, 1617, 63, 95]",a
67,"[0, 6757, 51, 74]",b
68,"[0, 1926, 32, 33]",d
69,"[2, 6717, 36, 2]",a
